Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original Name,Needs Review,Confidence Score
Caldwell,Chameleon SC/XC,75,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm/112mm Caldwell Chameleon SC/XC - Front,False,0.6052631578947368
Caldwell,Chameleon SC/XC,32,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm/48mm Caldwell Chameleon SC/XC - Front,False,0.6216216216216216
Caldwell,Chameleon SC/XC,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm/60mm Caldwell Chameleon SC/XC - Front,False,0.6216216216216216
Caldwell,Chameleon SC/XC,50,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm/75mm Caldwell Chameleon SC/XC - Front,False,0.6216216216216216
Caldwell,Chameleon SC/XC,60,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm/90mm Caldwell Chameleon SC/XC - Front,False,0.6216216216216216
Caldwell,Chameleon XC,150,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC - Rear Expander,True,0.5945945945945946
Caldwell,Chameleon XC,48,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,48mm Caldwell Chameleon XC - Rear Expander,True,0.5833333333333334
Caldwell,Chameleon XC,150,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC - Front,False,0.7333333333333333
Caldwell,Chameleon UW SC,32,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm Caldwell Chameleon UW SC Series T2.0,False,0.7714285714285715
Caldwell,Chameleon UW SC,40,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm Caldwell Chameleon UW SC Series T2.0,False,0.7714285714285715
Caldwell,Chameleon XC,150,T4.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm Caldwell Chameleon XC Series T4.0,False,0.7647058823529411
Canon,Rangefinder,,,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,,,,,,,,,Canon Rangefinder - TLS - LPL Mount,True,0.5517241379310345
Lensbaby,Lensbaby,,,Special,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,LENSBABY COMPOSER PRO OPTIC CANON,True,0.5517241379310345
Canon,,40,,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canon HJ40x18B IASD,True,0.4117647058823529
Canon,Rangefinder,50,F0.95,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,LPL,,,,,,,,"50mm Canon ""Dream Lens"" Rangefinder - TLS F0.95 (LPL)",True,0.5777777777777777
Canon,L Series,100,F2.9,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,Macro,,,,,,,100mm Canon EF Macro F2.9 L Series IS USM,True,0.5757575757575758
Canon,Tilt-Shift,45,F2.8,Special,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45mm Canon EF TS-E Tilt-Shift Lens F2.8,False,0.6060606060606061
Canon,L Series,70-200,F2.8,Zoom,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-200mm Canon EF Zoom F2.8 L Series II USM IS,False,0.6756756756756757
Ancient Optics,Fd,35-105,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,35-105mm Canon FD Zoom REAR - Ancient Optics,False,0.6486486486486487
Canon,L Series,100-400,F4.5,Zoom,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-400mm Canon EF Zoom F4.5 L Series IS USM,False,0.7222222222222222
Ancient Optics,Fd,35-105,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,35-105mm Canon FD Zoom REAR - Ancient Optics,False,0.6486486486486487
Canon,L Series,24,F1.4,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm Canon EF F1.4 L Series II USM,False,0.6666666666666666
Canon,L Series,35,F1.4,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Canon EF F1.4 L Series II USM,False,0.6666666666666666
Canon,L Series,85,F1.2,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Canon EF F1.2 L Series II USM,False,0.6666666666666666
Ancient Optics,Fd,24-75,,Zoom,,,Spherical,,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,24-75mm Canon FD Zoom REAR - Ancient Optics,False,0.6388888888888888
Canon,L Series,70-200,F2.8,Zoom,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-200mm Canon EF Zoom F2.8 L Series II USM,False,0.7142857142857143
Canon,L Series,24-70,F2.8,Zoom,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-70mm Canon EF Zoom F2.8 L Series II USM,False,0.7058823529411765
Canon,L Series,70-200,F2.8,Zoom,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,70-200mm Canon EF Zoom F2.8 L Series I USM,False,0.7352941176470589
Canon,L Series,85,F1.2,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Canon EF F1.2 L Series,False,0.8181818181818182
Canon,T-Rex,18-35,,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-35mm Canon Shift - T-Rex,True,0.5652173913043478
Canon,Ef-S,24,F2.8,Prime,,EF,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm Canon EF-S F2.8 STM,False,0.7
Zero Optik,Rangefinder,100,T2.2,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,100mm Canon Rangefinder T2.2 - Zero Optik (LPL),False,0.75
Zero Optik,Rangefinder,19,T3.9,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,19mm Canon Rangefinder T3.9 - Zero Optik (LPL),False,0.7435897435897436
Zero Optik,Rangefinder,28,T2.8,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,28mm Canon Rangefinder T2.8 - Zero Optik (LPL),False,0.7435897435897436
Zero Optik,Rangefinder,35,T1.7,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,35mm Canon Rangefinder T1.7 - Zero Optik (LPL),False,0.7435897435897436
Zero Optik,Rangefinder,50,T1.2,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,50mm Canon Rangefinder T1.2 - Zero Optik (LPL),False,0.7435897435897436
Zero Optik,Rangefinder,85,T1.9,Prime,,LPL,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,LPL,,,,,,,,85mm Canon Rangefinder T1.9 - Zero Optik (LPL),False,0.7435897435897436
Canon,,50-1000,T5.0,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50-1000mm Canon Cine-Servo T5.0 CN20X50 KAS S,True,0.3846153846153846
Canon,Rangefinder,135,T2.8,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,LPL,,,,,,,,135mm Canon FL Rangefinder-X T2.8 - TLS (LPL),False,0.6842105263157895
Canon,,17-120,T2.95,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-120mm Canon Cine-Servo T2.95 CN7X17 KAS S,True,0.3947368421052631
Zero Optik,Fd,35,T2.2,Prime,,,Spherical,,,Zero Optik,,,,,,,,,,,,,,,,,,,,,,,,,35mm Canon FD SSC Convex T2.2 - Zero Optik,True,0.5
Canon,Rangefinder,40,T1.8,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,LPL,,,,,,,,40mm Canon Rangefinder-X T1.8 - TLS (LPL),False,0.7142857142857143
Canon,Rangefinder,58,T1.4,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,LPL,,,,,,,,58mm Canon Rangefinder-X T1.4 - TLS (LPL),False,0.7142857142857143
Canon,Rangefinder,100,T2.1,Prime,,LPL,Spherical,,,Tls,,,,,,,,,,,,,,,,,LPL,,,,,,,,100mm Canon Rangefinder T2.1 - TLS (LPL),False,0.7647058823529411
