,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
,,40mm,1.8,,,,,,,,,,,,,Not currently in inventory
,,50mm,1.4,,,,,,,,,,,,,Not currently in inventory
,,55mm,1.8,,,,,,,,,,,,,Not currently in inventory
,,65mm,1.4,,,,,,,,,,,,,Not currently in inventory
,,85mm,1.4,,,,,,,,,,,,,Not currently in inventory
,,105mm,1.4,,,,,,,,,,,,,Not currently in inventory
,,135mm,1.4,,,,,,,,,,,,,Not currently in inventory
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Tribe,"Blackwing7
(Production & Binary)",57mm,1.9*,19”,3.5 lbs,4.5”,104mm,PL,60mm,,14,,No,N/A,2020,
,,77mm,1.9*,26”,3.0 lbs,4.5”,104mm,PL,60mm,,14,,No,N/A,2020,
,,107mm,1.9*,29”,3.2 lbs,4.5”,104mm,PL,62mm,,14,,No,N/A,2020,
,,137mm,1.9*,32”,3.2 lbs,4.5”,104mm,PL,62mm,,14,,No,N/A,2020,
,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes
Tribe,EZANA,17mm,2.4,"8.7""",3.8 lbs,,104mm,PL,55mm,,14,,No,N/A,2024,Not currently in inventory. 17mm will not cover full Open Gate on ALEXA 65.
,,20.7mm,2.4,"9""",3.2 lbs,,104mm,PL,55mm,,14,,No,N/A,2024,Not currently in inventory. 20.7mm will not cover full Open Gate on ALEXA 65.
,,23.7mm,2.4,"10.3""",3.2 lbs,,104mm,PL,55mm,,14,,No,N/A,2024,Not currently in inventory. 23.7mm will not cover full Open Gate on ALEXA 65.
,,27mm,2.4,"13""",3.6 lbs,,104mm,PL,55mm,,14,,No,N/A,2024,Not currently in inventory. 27mm will not cover full Open Gate on ALEXA 65.
,,37mm,2.4,"18""",3.4 lbs,,104mm,PL,60mm,,14,,No,N/A,2024,Not currently in inventory
