,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
,,55mm,1.3,1’8”,2.6 lbs,3.5”,95mm,PL,46mm,,8,"IBE 1.4X, IBE 2X, ",,No,,,,
,,85mm,1.3,3’,3.8 lbs,4”,95mm,PL,56mm,,8,"IBE 1.4X, IBE 2X, ",,No,,,,
,,135mm,2.1,4’,4.4 lbs,5”,95mm,PL,56mm,,8,"IBE 1.4X, IBE 2X, ",,No,,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FD Rehoused (TLS),14mm,2.8,"8""",2.6 lbs,3.8,110mm,PL,43mm,,8,"IBE 1.4X, IBE 2X",No,N/A,,,,
,,28mm,2,"12""",1.8 lbs,3,110mm,PL,43mm,,8,"IBE 1.4X, IBE 2X, ",No,N/A,,,,
,,55mm,1.3,"22""",2.6 lbs,2.3,110mm,PL,46mm,,8,"IBE 1.4X, IBE 2X, ",No,N/A,,,,
,,100mm,2,"2' 2""",3.5 lbs,3,110mm,PL,56mm,,8,"IBE 1.4X, IBE 2X, ",No,N/A,,,,
,,135mm,2.1,"3' 8""",4.4 lbs,3.1,110mm,PL,56mm,,8,"IBE 1.4X, IBE 2X, ",No,N/A,,,,
,,200mm,2.9,"7' 6""",4.2 lbs,3.9,110mm,PL,56mm,,8,"IBE 1.4X, IBE 2X, ",No,N/A,,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FD Rehoused (TLS) Mixed Set,18mm FD-X,1.6,"11""",4.75 lbs,"2.75""",143mm,PL,FF,,,,No,N/A,,24mm FD with Angenieux 0.75x wide angle adapter built in.,,
,,20mm SSC,2.9,"10""",2.42 lbs,"2.75""",110mm,PL,FF,,,,No,N/A,,"This is a mixed set from the consigner. They will somewhat match all other Canon FD's, but there are some differences depending on the model.",,
,,24mm SSC,1.5,"12""",2.86 lbs,"3.12""",110mm,PL,FF,,,,No,N/A,,,,
,,28mm SSC,2.1,"12""",2.64 lbs,"3.12""",110mm,PL,FF,,,,No,N/A,,,,
,,35mm SSC,2.1,"12""",2.86 lbs,"3.5""",110mm,PL,FF,,,,No,N/A,,,,
,,55mm SSC,1.3,2',2.5 lbs,"2.85""",110mm,PL,FF,,,,No,N/A,,,,
,,85mm SSC,1.3,3',3.74 lbs,"3.75""",110mm,PL,FF,,,,No,N/A,,,,
,,100mm,2.1,"2' 2""",3.30 lbs,"3.85""",110mm,PL,FF,,,,No,N/A,,,,
,,135mm,2.1,"3' 8""",3.68 lbs,"4.7""",110mm,PL,FF,,,,No,N/A,,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FD Rehoused (Whitepoint Optics),20mm,2.9,"8""",2.2 lbs,"2.75""",110mm,PL,FF,,14,,No,N/A,,,,
,,24mm,1.5,"1' 1""",2.72 lbs,"3.125""",110mm,PL,FF,,14,,No,N/A,,,,
,,35mm,2.1,1',3.28 lbs,"4""",110mm,PL,FF,,14,,No,N/A,,,,
,,55mm,1.3,"1' 10""",3.28 lbs,"4""",110mm,PL,FF,,14,,No,N/A,,,,
,,85mm,1.3,"2' 10""",3.7 lbs,"4""",110mm,PL,FF,,16,,No,N/A,,,,
,,100mm,2.1,3',3.58 lbs,"4.25""",110mm,PL,FF,,14,,No,N/A,,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FD Rehoused (Zero Optik) Mixed Set,20mm SSC,3.2,"10""",1.42 lbs,"2.2""",95mm,PL,FF,,12,,No,N/A,1970's,"This is a mixed set from the consigner. They will somewhat match all other Canon FD's, but there are some differences depending on the model.",,
,,24mm FD-L,1.6,1',1.75 lbs,"2.75""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,28mm SSC,2.2,1',1.60 lbs,"2.75""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,35mm SSC Convex,2.2,1',1.81 lbs,"3.35""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,55mm SSC Asph,1.5,"1' 2""",2 lbs,"3.35""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,85mm FD-L,1.3,"2' 11""",2.26 lbs,"3.35""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,100mm LTM,2.2,"2' 4""",2.29 lbs,"4.15""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,135mm nFD,2.1,4',2.50 lbs,"4.3""",95mm,PL,FF,,16,,No,N/A,1970's,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,FF Macro Primes,60mm Macro,2.5,"2.2""",4.9 lbs,"6.3""",87mm,PL,46.31mm,,9,,Yes,N/A,2022,Originally sold as S7 Macro,,
,,90mm Macro,2.5,"4.5""",5.5 lbs,"6.8""",87mm,PL,46.31mm,,9,,Yes,N/A,2022,,,
,,150mm Macro,2.5,"6.8""",6.6 lbs,"9.2""",87mm,PL,46.31mm,,9,,Yes,N/A,2022,,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,K-35 Mark II Original,24mm,1.6,1',1.6 lbs,"2.7"" - 2.75""",80mm,PL,38mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1971,Mark II / Telescoping / Vintage,,
,,35mm,1.3,1',2 lbs,"3"" - 3.25""",80mm,PL,41mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1976,Mark II / Telescoping / Vintage,,
,,55mm,1.4,2',1.5 lbs,"2.5"" - 2.7""",80mm,PL,39mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",No,N/A,1971,Mark II / Telescoping / Vintage,,
,,85mm,1.4,3',2 lbs,"2.8"" - 3.3""",80mm,PL,40mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X",No,N/A,1971,Mark II / Telescoping / Vintage,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,K-35 Mark II Rehoused (TLS),24mm,1.5,1',2.8 lbs,"3.25""",110mm,PL,42mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X",No,N/A,1971,Mark II / Rehoused (TLS) / Vintage,,
,,35mm,1.3,1',3.7 lbs,"4.1""",110mm,PL,42mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X",No,N/A,1976,Mark II / Rehoused (TLS) / Vintage,,
,,55mm,1.3,"22""",2.5 lbs,"2.8""",110mm,PL,41mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X",No,N/A,1971,Mark II / Rehoused (TLS) / Vintage,,
,,85mm,1.3,"2' 9""",3.3 lbs,"3.7""",110mm,PL,40mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X",No,N/A,1971,Mark II / Rehoused (TLS) / Vintage,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,"K-35 Mark II Rehoused 
(Matte black)",24mm,1.5,1',1.4 lbs,"2.4""",80mm,PL,42mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1971,Rehoused / Not currently in inventory / Vintage,,
,,35mm,1.3,1',2 lbs,"3"" - 3.25""",80mm,PL,42mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1976,Rehoused / Telescoping / Not currently in inventory / Vintage,,
,,55mm,1.3,2',1.5 lbs,"2.1"" - 2.4""",80mm,PL,41mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1971,Rehoused / Telescoping / Not currently in inventory / Vintage,,
,,85mm,1.3,3',1.8 lbs,"2.5"" - 3""",80mm,PL,40mm clear / 43mm with falloff,,15,"IBE 1.4X, IBE 2X, Ang 2X",No,N/A,1971,Rehoused / Telescoping / Not currently in inventory / Vintage,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Cooke ,Panchro Classic/i Full Frame,18mm,2.2,"11""",4.8 lbs,"5""",125mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,21mm,2.2,"11""",4.1 lbs,"5""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,25mm,2.2,"13""",4.4 lbs,"4.9""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,27mm,2.2,"13""",4.6 lbs,"5""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,32mm,2.2,"13""",4.1 lbs,"4.3""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,40mm,2.2,"13""",3.3 lbs,"4.1""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,50mm,2.2,"16""",3 lbs,"4.4""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Only one Canada based consigner set in inventory,,
,,65mm Macro,2.4,"13""",6.1 lbs,"7.8""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Not currently in inventory,,
,,75mm,2.2,"2' 6""",3.9 lbs,"6.1""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Not currently in inventory,,
,,100mm,2.6,2',3.9 lbs,"6.3""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Not currently in inventory,,
,,135mm,2.8,"2' 9""",4.6 lbs,"6.6""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Not currently in inventory,,
,,152mm,3,"3' 6""",4.6 lbs,"6.6""",110mm,PL,46.31mm,,9,,Yes,N/A,2022,Not currently in inventory,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,Rangefinder Primes (TLS),19mm,4,"8""",2.6 lbs,"3""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,25mm,2.1,"8""",2.68 lbs,"2.75""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,28mm,2.1,"8""",2.68 lbs,"2.75""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,35mm,1.6,"12""",2 lbs,"2.25""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,40mm,1.8,"11""",1.95 lbs,"2.75""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,50mm,1.1,"16""",2.25 lbs,"2.75""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,58mm,1.4,"19""",2.10 lbs,"2.75""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,85mm,1.6,"2' 2""",3.34 lbs,"3.5""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,100mm,2.1,"2' 2""",3.44 lbs,"4""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,135mm,2.8,"3' 6""",3.58 lbs,"5""",110mm,LPL,43mm,NO,,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Canon,Rangefinder Primes (Zero Optik),19mm,3.9 (f/3.5),"6""",2.12 lbs,"3""",110mm,LPL,43mm,NO,12,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,25mm,,"11""",,,110mm,LPL,43mm,NO,12,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only / Not Available Yet,,
,,28mm,2.8 (f/2.8),"11""",1.2 lbs,"2""",110mm,LPL,43mm,NO,12,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,35mm,1.7 (f/1.5),"11""",1.38 lbs,"2.5""",110mm,LPL,43mm,NO,12,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,50mm,1.2 (f/0.95),"1' 1""",2.08 lbs,"3""",110mm,LPL,43mm,NO,16,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,85mm,1.9 (f/1.8),"1' 9""",2.72 lbs,"5""",110mm,LPL,43mm,NO,16,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,100mm,2.2 (f/2.0),"2' 4""",2.94 lbs,"5""",110mm,LPL,43mm,NO,16,,No,N/A,1960's,Rehoused / Telescoping within housing / LPL only,,
,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,LDS,Support Post Length (mm),Manufacture Year,Notes,,
Cooke,S8/i,18mm,T1.4,2',7.4 lbs,"7.8""",136mm,PL / LPL,46.31mm,,9,,Yes,,2022,,,
,,21mm,T1.4,2',7.6 lbs,"7.7""",125mm,PL / LPL,46.31mm,,9,,Yes,,2022,Not currently in inventory,,
