Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
arri,macro,24,2.1,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,24mm arri macro t2.1
arri,macro,32,2.1,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,32mm arri macro t2.1
arri,macro,40,2.1,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,40mm arri macro t2.1
arri,macro,100,3.0,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,100mm arri macro t3.0
arri,macro,200,4.3,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,macro,,,,,,,200mm arri macro t4.3
arri,master anamorphic,28,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm master anamorphic t1.9
arri,master anamorphic,35,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm master anamorphic t1.9
arri,master anamorphic,40,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm master anamorphic t1.9
arri,master anamorphic,50,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm master anamorphic t1.9
arri,master anamorphic,60,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm master anamorphic t1.9
arri,master anamorphic,75,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm master anamorphic t1.9
arri,master anamorphic,100,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm master anamorphic t1.9
arri,master anamorphic,135,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm master anamorphic t1.9
arri,master anamorphic,180,1.9,prime,s35,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,180mm master anamorphic t1.9
arri,shift & tilt,28,2.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm arri shift & tilt t2.8
arri,shift & tilt,60,3.5,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm arri shift & tilt t3.5
arri,shift & tilt,80,1.9,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80mm arri shift & tilt t1.9
arri,shift and tilt,110,2,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,110mm arri shift and tilt t2
arri,shift and tilt,18,3.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm arri shift and tilt t3.8
arri,shift and tilt,20,2.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20mm arri shift and tilt t2.8
arri,shift and tilt,45,2.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45mm arri shift and tilt t2.8
arri,shift and tilt,90,2.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,90mm arri shift and tilt t2.8
arri,shift and tilt,24,4.0,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm arri shift and tilt t4.0
arri,shift and tilt,150,2.8,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,150mm arri shift and tilt t2.8
arri,signature prime,12,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,12mm arri signature prime t1.8 (lpl)
arri,signature prime,15,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,15mm arri signature prime t1.8 (lpl)
arri,signature prime,18,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,18mm arri signature prime t1.8 (lpl)
arri,signature prime,21,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,21mm arri signature prime t1.8 (lpl)
arri,signature prime,25,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,25mm arri signature prime t1.8 (lpl)
arri,signature prime,29,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,29mm arri signature prime t1.8 (lpl)
arri,signature prime,35,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,35mm arri signature prime t1.8 (lpl)
arri,signature prime,40,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,40mm arri signature prime t1.8 (lpl)
arri,signature prime,47,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,47mm arri signature prime t1.8 (lpl)
arri,signature prime,58,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,58mm arri signature prime t1.8 (lpl)
arri,signature prime,75,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,75mm arri signature prime t1.8 (lpl)
arri,signature prime,95,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,95mm arri signature prime t1.8 (lpl)
arri,signature prime,125,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,125mm arri signature prime t1.8 (lpl)
arri,signature prime,150,1.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,150mm arri signature prime t1.8 (lpl)
arri,signature prime,200,2.5,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,200mm arri signature prime t2.5 (lpl)
arri,signature prime,280,2.8,prime,,lpl,spherical,,,,,,,,,,,,,,,,,,,,lpl,,,,,,,,280mm arri signature prime t2.8 (lpl)
arri,signature zoom,16-32,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-32mm arri signature zoom t2.8
arri,signature zoom,24-75,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-75mm arri signature zoom t2.8
arri,signature zoom,45-135,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-135mm arri signature zoom t2.8
arri,signature zoom,65-300,2.8,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65-300mm arri signature zoom t2.8
arri,tilt focus lens,24,4.0,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm arri tilt focus lens t4.0
arri,tilt focus lens,45,2.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,45mm arri tilt focus lens t2.8
arri,tilt focus lens,90,2.8,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,90mm arri tilt focus lens t2.8
arri,ultra wide zoom,9.5-18,2.9,zoom,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5-18mm arri ultra wide zoom t2.9
astroscope,night vision module,,,special,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,astroscope night vision module
atlas,orion,32,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,32mm atlas silver edition orion t2
atlas,orion,40,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,40mm atlas silver edition orion t2
atlas,orion,50,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm atlas silver edition orion t2
atlas,orion,65,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mm atlas silver edition orion t2
atlas,orion,80,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,80mm atlas silver edition orion t2
atlas,orion,100,2,prime,,,spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm atlas silver edition orion t2
atlas,orion,18,2,prime,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm atlas orion anamorphic t2
atlas,orion,21,2,prime,,,anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,21mm atlas orion anamorphic t2
