Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale
zeiss,ultra prime,10,2.1,prime,,pl,spherical,,,,156,1 3,5.6,35mm ok,31,6,,no,,,,6.4,1998,,,,rectilinear,,,,,,,
zeiss,ultra prime,12,2,prime,,pl,spherical,,,,156,1,5.5,35mm ok,31,9,"ibe 1.4x, ibe 2x",no,,,,4.4,1998,,,,,,,,,,,
zeiss,ultra prime,14,1.9,prime,,pl,spherical,,,,114,9,4.4,35mm ok,30 clear / 31.5 with falloff,9,,no,,,,4,1998,no,,,,,,,,,,
zeiss,ultra prime,16,1.9,prime,,pl,spherical,,,,95,1,3.7,35mm ok,30 clear / 32 with falloff,9,,no,,,,2.6,1998,no,,,,,,,,,,
zeiss,ultra prime,20,1.9,prime,,pl,spherical,,,,95,1,3.6,35mm ok,33 clear / 36 with falloff,9,,no,,,,2.6,1998,no,,,,,,,,,,
zeiss,ultra prime,24,1.9,prime,,pl,spherical,,,,95,1,3.6,35mm ok,34 clear / 38 with falloff,9,,no,,,,2.2,1998,no,,,,,,,,,,
zeiss,ultra prime,28,1.9,prime,,pl,spherical,,,,95,1,3.6,35mm ok,35 clear / 38 with falloff,9,,no,,,,2.2,1998,no,,,,,,,,,,
zeiss,ultra prime,32,1.9,prime,,pl,spherical,,,,95,1 3,3.6,35mm ok,36 clear / 38 with falloff,9,,no,,,,2.4,1998,no,,,,,,,,,,
zeiss,ultra prime,40,1.9,prime,,pl,spherical,,,,95,1 3,3.6,35mm ok,38 clear / 40 with falloff,9,,no,,,,2.2,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime,50,1.9,prime,,pl,spherical,,,,95,2,3.6,35mm ok,38 clear / 40 with falloff,9,,no,,,,2.2,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime,65,1.9,prime,,pl,spherical,,,,95,2 3,3.6,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,2.4,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime,85,1.9,prime,,pl,spherical,,,,95,3,3.6,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",no,,,,2.6,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime,100,1.9,prime,,pl,spherical,,,,95,3 3,3.6,35mm ok,38 clear / 43 with falloff,10,,no,,,,2.6,1998,no,,,,,,,,,,
zeiss,ultra prime,135,1.9,prime,,pl,spherical,,,,95,5,4.7,35mm ok,39 clear / 43 with falloff,10,"ibe 1.4x, ibe 2x",no,,,,3.5,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime,180,1.9,prime,,pl,spherical,,,,114,8 6,6.5,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,5.7,1998,duclos 1.7x,,,,,,,,,,
zeiss,ultra prime lds,12,2,prime,,pl,spherical,,,,156,11.8,5.5,35mm ok,,9,,yes,,,,4.8,,,,,,,,,,,,
zeiss,ultra prime lds,14,1.9,prime,,pl,spherical,,,,114,9,4.4,35mm ok,30 clear / 31.5 with falloff,9,,yes,,,,4,,,,,,,,,,,,
zeiss,ultra prime lds,16,1.9,prime,,pl,spherical,,,,104,12,3.9,35mm ok,30 clear / 32 with falloff,9,,yes,,,,3.3,,,,,,,,,,,,
zeiss,ultra prime lds,20,1.9,prime,,pl,spherical,,,,104,12,3.9,35mm ok,33 clear / 36 with falloff,9,,yes,,,,3.3,,,,,,,,,,,,
zeiss,ultra prime lds,24,1.9,prime,,pl,spherical,,,,104,11.8,3.6,35mm ok,34 clear / 38 with falloff,9,,yes,,,,2.9,,,,,,,,,,,,
zeiss,ultra prime lds,28,1.9,prime,,pl,spherical,,,,104,12,3.9,35mm ok,35 clear / 38 with falloff,9,,yes,,,,3.3,,,,,,,,,,,,
zeiss,ultra prime lds,32,1.9,prime,,pl,spherical,,,,104,15,3.9,35mm ok,36 clear / 38 with falloff,9,,yes,,,,3.1,,,,,,,,,,,,
zeiss,ultra prime lds,40,1.9,prime,,pl,spherical,,,,104,15,3.9,35mm ok,38 clear / 40 with falloff,9,,yes,,,,3.3,,,,,,,,,,,,
zeiss,ultra prime lds,50,1.9,prime,,pl,spherical,,,,104,2,3.9,35mm ok,38 clear / 40 with falloff,9,,yes,,,,2.6,,,,,,,,,,,,
zeiss,ultra prime lds,65,1.9,prime,,pl,spherical,,,,104,2 3,3.9,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",yes,,,,3.1,,,,,,,,,,,,
zeiss,ultra prime lds,85,1.9,prime,,pl,spherical,,,,104,3,3.9,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x, ang 1.4x, ang 2x, optex 2x",yes,,,,3.3,,,,,,,,,,,,
zeiss,ultra prime lds,100,1.9,prime,,pl,spherical,,,,104,3 3,3.9,35mm ok,38 clear / 43 with falloff,10,,yes,,,,3.4,,,,,,,,,,,,
zeiss,ultra prime lds,135,1.9,prime,,pl,spherical,,,,104,5,4.7,35mm ok,39 clear / 43 with falloff,10,"ibe 1.4x, ibe 2x",yes,,,,4.2,,,,,,,,,,,,
zeiss,ultra prime lds,180,1.9,prime,,pl,spherical,,,,114,102.4,6.5,35mm ok,40 clear / 43 with falloff,9,,yes,,,,6.2,,,,,,,,,,,,
zeiss,standard speed (t2.1),10,2.1,prime,,pl,spherical,,,,156,14,5.6 - 5.7,35mm ok,31,6,,no,,,,6.6,,,,,mark ii / rectilinear,,,,,,,
zeiss,mark ii,12,2.1,prime,,pl,spherical,,,,135,10,3.4 - 3.5,35mm ok,26 clear / 30 with falloff,6,,no,,,,2.5,,no,,,mark ii / rectilinear / telescoping,,,,,,,
zeiss,(uncoated specs are the same),14,2.1,prime,,pl,spherical,,,,114,9,4.4 - 4.45,35mm ok,30 clear / 32 with falloff,7,,no,,,,3.2,,no,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),16,2.1,prime,,pl,spherical,,,,80,10 (cf modified),2.12 - 2.2,35mm ok,24 clear / 30 with falloff,6,,no,,,,1.2,,no,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),24,2.1,prime,,pl,spherical,,,,80,14 (cf modified),2.12 - 2.25,35mm ok,26 clear / 31 with falloff,6,,no,,,,1,,no,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),28,2.1,prime,,pl,spherical,,,,80,11,3.1 - 3.25,35mm ok,35 clear / 39 with falloff,7,"ibe 1.4x, ibe 2x",no,,,,2.25,,no,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),32,2.1,prime,,pl,spherical,,,,80,2 (cf modified),2.12 - 2.25,35mm ok,24 clear / 30 with falloff,5,,no,,,,1,,no,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),50,2.1,prime,,pl,spherical,,,,80,1 6,2.2 - 2.5,35mm ok,39 clear / 43 with falloff,6,"ibe 1.4x, ibe 2x",no,,,,1,,,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),85,2.1,prime,,pl,spherical,,,,80,3,2.12 - 2.5,35mm ok,39 clear / 43 with falloff,7,"ibe 1.4x, ibe 2x",no,,,,1.5,,,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),100,2.1,prime,,pl,spherical,,,,80,3 4,3 - 3.5,35mm ok,40 clear / 43 with falloff,6,"ibe 1.4x, ibe 2x, ang 2x",no,,,,1.6,,,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),135,2.1,prime,,pl,spherical,,,,80,5,3.7 - 4.2,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,2.25,,,,,mark ii / telescoping,,,,,,,
zeiss,(uncoated specs are the same),180,3,prime,,pl,spherical,,,,80,5,4.8 - 5.6,35mm ok,40 clear / 43 with falloff,9,"ibe 1.4x, ibe 2x",no,,,,3,,,,,mark ii / telescoping,,,,,,,
zeiss,standard speed (t2.1),16,2.1,prime,,pl,spherical,,,,80,10,2.12 - 2.2,35mm ok,25 clear / 30 with falloff,6,,no,,,,1.25,,no,,,mark i / telescoping,,,,,,,
