Manufacturer,Series,Focal Length,T-Stop,Prime / Zoom / Special,Format,Mount,Anamorphic / Spherical,Anamorphic Squeeze Factor,Anamorphic Location,Housing,Front Diameter (mm),Close Focus,Length (in),Film Compatibility,Image Circle (mm),Iris Blade Count,Extender,LDS,i/Data,Support Recommended,Support Post Length (mm),Weight (lbs),Manufacture Year,Expander,Heden Motor Size,Size,Notes,Use Case,Look,Bokeh,Flare,Focus Falloff,Breathing,Focus Scale,Original ESC Name
Sony,G Series,20-70,F4,Zoom,,E-MOUNT,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-70mm Sony G Series F4 E-Mount Lens
Sony,Fe,24-105,F4,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-105mm Sony FE F4 OSS Lens
Sony,Fe,28,F2.0,Prime,,E-MOUNT,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm Sony FE E-Mount f/2.0
Sony,GM,100-400,F4.5-5.6,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-400mm Sony FE f/4.5-5.6 GM OSS Lens
Sony,Fe,200-600,F5.6-6.3,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,200-600mm Sony FE F5.6-6.3 G OSS Lens
Sony,GM,16-35,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-35mm Sony GM F2.8 Mark II
Sony,F4,12-24,F4,Zoom,,E-MOUNT,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-24mm Sony F4 E-Mount
Sony,GM,24-70,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-70mm Sony FE GM II F2.8
Sony,GM,14,F1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,14mm Sony FE GM F1.8
Sony,GM,24,F1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24mm Sony FE GM F1.4
Sony,GM,35,F1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm Sony FE GM F1.4
Sony,GM,50,F1.2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm Sony FE GM F1.2
Sony,GM,85,F1.4,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Sony FE GM F1.4
Sony,GM,100,F2.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Sony FE GM F2.8
Sony,GM,12-24,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-24mm SONY FE f/2.8 GM
Sony,Fe,16-35,T3.1,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE C 16-35mm G Sony Zoom T3.1
Sony,GM,16-35,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-35mm Sony GM F2.8
Sony,GM,16-35,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-35mm Sony GM F2.8
Sony,GM,24-70,F2.8,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-70mm Sony GM F2.8
Sony,Vario-Tessar,16-35,F4,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-35mm Sony Vario-Tessar F4
Sony,Vario-Tessar,24-70,F4,Zoom,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-70mm Sony Vario-Tessar F4
Sony,Sonnar,55,F1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,55mm Sony Sonnar F1.8
Statera,Anamorphic,50,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,50mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
Statera,Anamorphic,75,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,75mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
Statera,Anamorphic,95,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,95mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
Statera,Anamorphic,135,T2.1,Prime,,,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,,,,,,,,,135mm Statera Anamorphic 1.5x T2.1 - Ancient Optics
Statera,Anamorphic,35,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,35mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL)
Statera,Anamorphic,40,T2.1,Prime,,LPL,Anamorphic,1.5x,,Ancient Optics,,,,,,,,,,,,,,,,,LPL,,,,,,,,40mm Statera Anamorphic 1.5x T2.1 - Ancient Optics (LPL)
Swift,960 Series Microscope Lens,960,,Special,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift 960 Series Microscope Lens
Tamashii,,22,T2.2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,22mm Tamashii T2.2
Tamashii,,26,T2.2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,26mm Tamashii T2.2
Tamashii,,29,T2.2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,29mm Tamashii T2.2
Tamashii,,36,T2.3,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,36mm Tamashii T2.3
Tamashii,,42,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,42mm Tamashii T2.0
Tamashii,,52,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,52mm Tamashii T1.9
Tamashii,,58,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,58mm Tamashii T1.5
Tamashii,,88,T2.0,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,88mm Tamashii T2.0
Tamashii,,110,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,110mm Tamashii T1.9
Tamashii,,110,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,110mm Tamashii T1.9
TODD-AO,,55,T1.4,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,2nd Gen,,,,,,,,55mm TODD-AO Anamorphic Prime T1.4 (2nd Gen)
TODD-AO,Anamorphic Prime,28,T3.9,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28mm TODD-AO Anamorphic Prime T3.9
TODD-AO,Anamorphic Prime,50,T2.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm TODD-AO Anamorphic Prime T2.3
TODD-AO,Anamorphic Prime,55,T1.3,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,55mm TODD-AO Anamorphic Prime T1.3
TODD-AO,Anamorphic Prime,75,T2.5,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm TODD-AO Anamorphic Prime T2.5
TODD-AO,Anamorphic Prime,75,T2.2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,75mm TODD-AO Anamorphic Prime T2.2
TODD-AO,Anamorphic Prime,85,T1.4,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm Todd-AO Anamorphic Prime T1.4
TODD-AO,Anamorphic Prime,100,T3.4,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mm Todd-AO Anamorphic Prime T3.4
TODD-AO,Anamorphic Prime,200,T3.5,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,200mm TODD-AO Anamorphic Prime T3.5
TODD-AO,Anamorphic Prime,35,T2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm TODD-AO Anamorphic Prime T2
TODD-AO,Anamorphic Prime,38,T2,Prime,,,Anamorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,38mm TODD-AO Anamorphic Prime T2
Tokina,Vista One,18,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,18mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,25,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,25mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,35,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,35mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,50,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,50mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,85,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,85mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,105,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,105mm TOKINA VISTA ONE T1.5 - FD 114MM
Tokina,Vista One,135,T1.5,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,135mm TOKINA VISTA ONE T1.5 - FD 114MM
Tribe7,Blackwing7,17,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,17mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,27mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,37mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,47mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,57mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,77mm Tribe7 Blackwing7 Production (T) T1.8
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,27mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,37mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,47mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,57mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,77mm Tribe7 Blackwing7 Production (S) T1.8
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,27mm Tribe7 Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,37mm Tribe7 Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,47mm Tribe7 Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,57mm Tribe7  Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,77mm Tribe7 Blackwing7 Production (B) T1.8
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,27mm Tribe7 Blackwing7 Production (X) T1.9
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,37mm Tribe7 Blackwing7 Production (X) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,47mm Tribe7 Blackwing7 Production (X) T1.9
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,57mm Tribe7  Blackwing7 Production (X) T1.9
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,77mm Tribe7 Blackwing7 Production (X) T1.8
Tribe7,Blackwing7,137,T2,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,137mm Tribe7 Blackwing7 Production (XT) T2
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,107mm Tribe7 Blackwing7 Production (T) T1.8
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,107mm Tribe7 Blackwing7 Production (S) T1.8
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,107mm Tribe7 Blackwing7 Production (B) T1.8
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,107mm Tribe7  Blackwing7 Production (X) T1.8
Tribe7,Blackwing7,27,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,27mm Tribe7 Blackwing7 Production (XT) T1.9
Tribe7,Blackwing7,37,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,37mm Tribe7 Blackwing7 Production (XT) T1.9
Tribe7,Blackwing7,47,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,47mm Tribe7 Blackwing7 Production (XT) T1.9
Tribe7,Blackwing7,57,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,57mm Tribe7 Blackwing7 Production (XT) T1.9
Tribe7,Blackwing7,77,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,77mm Tribe7 Blackwing7 Production (XT) T1.8
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,20.7mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,T,,,,,,,,23.7mm Tribe7 Blackwing7 Production (T) T1.9
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,20.7mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,S,,,,,,,,23.7mm Tribe7 Blackwing7 Production (S) T1.9
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,20.7mm  Tribe7 Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,23.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,B,,,,,,,,23.7mm  Tribe7 Blackwing7 Production (B) T1.9
Tribe7,Blackwing7,20.7,T1.9,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,X,,,,,,,,20.7mm Tribe7 Blackwing7 Production (X) T1.9
Tribe7,Blackwing7,107,T1.8,Prime,,,Spherical,,,,,,,,,,,,,,,,,,,,XT,,,,,,,,107mm Tribe7 Blackwing7 Production (XT) T1.8
