,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,Focal Length
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Lomography,Petzval,58mm,2.1,2',2.9 lbs,"2.6""",110mm,PL,44mm,35mm OK,,,,No,N/A,,TLS Rehousng,,,,,,,,
,,85mm,2.3,3',3 lbs,"3.4""",110mm,PL,44mm,35mm OK,,,,No,N/A,,TLS Rehousng,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Optex,Primes,10.5mm,2.1,"12""",1.8 lbs,"3.15""",120mm,PL,27mm,35mm OK,6,None,,No,N/A,,16mm Standard Speed with wide angle adapter,,,,,,,,
,,100mm,2.1,"3' 3""",1.6 lbs,"3.5"" - 4""",80mm,PL,37mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping,,,,,,,,
,,135mm,2,"4' 6""",1.8 lbs,"4"" - 4.75""",80mm,PL,41mm clear / 43mm with falloff,35mm OK,8,"IBE 1.4X, IBE 2X",,No,N/A,,Telescoping / Canon glass,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,Extender,Expander,LDS,Support Post Length (mm),Manufacture Year,Notes,,,,,,,,
Optex,Servlens SVS,15mm,3.5,"9"" (Actual: 7"")",2 lbs,"3"" - 3.2""",99mm,PL,31mm clear / 35mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X, Ang 1.4X, Ang 2X, Optex, 2X, Century 2X",,No,N/A,,Rehoused by Servicevision / Telescoping,,,,,,,,
,Close Focus,20mm,2.8,"9"" (Actual: 7"")",1.2 lbs,"2.3"" - 2.5""",88mm,PL,30mm clear / 38mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Rehoused by Servicevision / Telescoping,,,,,,,,
,,24mm,2.8,"9"" (Actual: 7"")",1.4 lbs,"2.8"" - 3.1""",88mm,PL,34mm clear / 39mm with falloff,35mm OK,7,"IBE 1.4X, IBE 2X",,No,N/A,,Rehoused by Servicevision / Telescoping,,,,,,,,
