,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Vantage,Hawk 65,40mm,2.2,"3' 3""",8 lbs,"6.89""",156mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,45mm,2.2,"3' 3""",8.5 lbs,"7.28""",156mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,50mm,2.2,"2' 7""",8.5 lbs,"9.65""",142mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,60mm,2.2,"3' 3""",7.4 lbs,"8.46""",125mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,65mm,2.2,"1' 8""",7.4 lbs,"8.66""",125mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,70mm,2.2,"3' 3""",6.5 lbs,"7.28""",120mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,80mm,2.8,"2' 7""",6.3 lbs,"8.86""",104mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,95mm,2.8,"3' 3""",5.6 lbs,"7.87""",104mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,120mm,2.8,"3' 3""",8.7 lbs,"9.65""",120mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,150mm,2.8,"3' 3""",8.7 lbs,"9.25""",120mm,XPL/LPL,,,,1.3x,N/A,No,,2016,Front,Subrental only from Vantage,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Focal Length,T-Stop,Close Focus,Weight (lbs),Length (in),Front Diameter (mm),Mount,Image Circle (mm),Film Compatibility,Iris Blade Count,"Anamorphic
Squeeze
Factor",Extender,LDS,Support Post Length (mm),Manufacture Year,"Anamorphic
Location",Notes,,,,,
Xelmus,Apollo,32mm,2,"15""",3.92 lbs,"4.5""",114mm,PL,S35,NO,,2x,,No,N/A,,Front,32mm IS NOT FULL FRAME,,,,,
,,40mm,2,"15""",3.88 lbs,"4.5""",114mm,PL,FF,,,2x,,No,N/A,,Front,,,,,,
,,50mm,1.7,"16""",3.94 lbs,"5.25""",104mm,PL,FF,,,2x,,No,N/A,,Front,,,,,,
,,60mm,1.7,"16.5""",3.96 lbs,"5.25""",104mm,PL,FF,,,2x,,No,N/A,,Front,,,,,,
,,75mm,2,"21""",4.32 lbs,"6""",104mm,PL,FF,,,2x,,No,N/A,,Front,,,,,,
,,100mm,2.3,"17.5""",4.56 lbs,"6.4""",104mm,PL,FF,,,2x,,No,N/A,,Front,,,,,,
,,135mm,2.8,"29.5""",5.48 lbs,"6.7""",104mm,PL,FF,35mm OK,,2x,,No,N/A,,Front,,,,,,
